7s Kh 2 0 
Qc 9d 2 0 
4d 3s 2 0 
4s 8c 2 0 
8d 2d 2 0 
8h 2c 2 0 
5d 9h 2 0 
6c 8c 2 1 
6c 8c 2 1 
10h 5d 2 0 
9d Qc 2 0   
9d 2c 2 0   
9h 9s 1 1   
5s 4h 2 0   
7h 5c 2 0 
Qh Jc 2 0 
Jh Ad 2 1 
Kc 5h 2 0 
7c 2c 2 0 
Jc Qs 2 0
7c 8s 2 1
8c 4h 2 0
2c 4c 2 0
4c Js 2 0
2h 6s 2 0
Ks Qc 2 1
Qs 5c 2 0
5s 6s 2 0
5s 10s 2 0
Qs Kc 2 1
Qs Kc 2 1
Qs Kc 2 1
8c Qd 2 0
Qs Js 2 1
9s 3h 1 1
4s Qh 1 1
Qd Kc 2 1
4s Qh 1 1
5c 6h 2 1
2s 2h 2 0
Js 6h 2 0
Js Kc 2 0
Jc 5s 2 0
2h Ah 2 1
9d 9s 2 1
4s 5s 2 0
Kc Jc 2 1
Kc Jc 2 1
Qs 9c 2 0
2s Ah 2 0
4d Js 1 1
6d 5s 2 0
Jh 2h 2 0
10d As 2 1
7d 6s 2 0
3c 10s 2 0
6d Ah 3 0
2d Kh 2 0
3c 7h 2 0
2c 10h 1 1
6d 9h 1 1
